num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec;latency
4;0;60;242;1000;303896;0.04293255183596392
4;0;60;242;10000;303896;0.3995313264693877
4;0;60;992;1000;105480;0.1666016970599369
4;0;60;992;10000;105480;1.45875254815625
7;0;60;242;1000;276000;0.05265118735656527
7;0;60;242;10000;276000;0.4669406032733564
7;0;60;992;1000;97804;0.20008417111436952
7;0;60;992;10000;97804;1.8129546933835616
10;0;60;242;1000;231864;0.06395996410752688
10;0;60;242;10000;231864;0.555629514394191
10;0;60;992;1000;91699;0.24288408686213234
10;0;60;992;10000;91699;2.3255916622542374
34;0;60;242;1000;113503;0.147598366377858
34;0;60;242;10000;113503;1.1741875421553398
34;0;60;992;1000;36461;0.4841714960283401
34;0;60;992;10000;36461;4.5234496608
67;0;60;242;1000;61566;0.2554220285602537
67;0;60;242;10000;61566;2.2283187330377356
67;0;60;992;1000;17595;0.8991383756893939
67;0;60;992;10000;17595;9.796819067818182
100;0;60;242;1000;42870;0.348142507
100;0;60;242;10000;42870;3.1655517826216215
100;0;60;992;1000;11005;1.312304349879121
100;0;60;992;10000;11005;12.581129645
