num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec;latency
4;3542;60;242;1000;59033;0.04293255183596392
4;392;60;242;10000;65333;0.3995313264693877
4;952;60;992;1000;15866;0.1666016970599369
4;96;60;992;10000;16000;1.45875254815625
7;2600;60;242;1000;43333;0.05265118735656527
7;290;60;242;10000;48333;0.4669406032733564
7;682;60;992;1000;11366;0.20008417111436952
7;73;60;992;10000;12166;1.8129546933835616
10;2047;60;242;1000;34116;0.06395996410752688
10;241;60;242;10000;40166;0.555629514394191
10;543;60;992;1000;9050;0.24288408686213234
10;60;60;992;10000;10000;2.3255916622542374
34;829;60;242;1000;13816;0.147598366377858
34;103;60;242;10000;17166;1.1741875421553398
34;246;60;992;1000;4100;0.4841714960283401
34;25;60;992;10000;4166;4.5234496608
67;475;60;242;1000;7916;0.2554220285602537
67;52;60;242;10000;8666;2.2283187330377356
67;132;60;992;1000;2200;0.8991383756893939
67;11;60;992;10000;1833;9.796819067818182
100;342;60;242;1000;5700;0.348142507
100;37;60;242;10000;6166;3.1655517826216215
100;91;60;992;1000;1516;1.312304349879121
100;8;60;992;10000;1333;12.581129645
