num_nodes;tx_size_bytes;txs_per_block;latency;txs_per_sec
10;242;10;0.003;4096
10;242;100;0.005;24818
10;242;1000;0.028;37283
10;242;2000;0.055;37700
10;242;3000;0.082;37500
10;242;4000;0.108;37733
10;242;5000;0.132;40000
10;242;7500;0.190;45500
10;242;10000;0.260;45833
10;242;50000;1.236;45833
10;242;100000;2.595;46666
10;242;150000;3.428;42500
#10;242;200000;4.285;20000
4;242;10;0.003;4574
4;242;100;0.004;32935
4;242;1000;0.016;61866
4;242;2000;0.030;67766
4;242;3000;0.044;68250
4;242;4000;0.058;68933
4;242;5000;0.074;68166
4;242;7500;0.108;69000
4;242;10000;0.143;69833
4;242;50000;0.677;73333
4;242;100000;1.378;68333
4;242;150000;2.122;67500
#4;242;200000;2.641;70000
7;242;10;0.003;4688
7;242;100;0.004;29768
7;242;1000;0.021;48000
7;242;2000;0.041;50000
7;242;3000;0.061;49850
7;242;4000;0.080;50600
7;242;5000;0.100;50083
7;242;7500;0.139;54375
7;242;10000;0.180;56333
7;242;50000;0.878;58333
7;242;100000;1.839;55000
7;242;150000;2.607;55000
#7;242;200000;3.397;56666
