num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;latency
4;3672;60;242;1000;0.016
4;3403;60;242;1000;0.016202340564380264
4;3399;60;242;1000;0.01619694121299639
4;3390;60;242;1000;0.016253125557160047
4;3402;60;242;1000;0.016186141836341757
4;402;60;242;10000;0.149
4;362;60;242;10000;0.15220406982608695
4;366;60;242;10000;0.14533144308695653
4;363;60;242;10000;0.14756297910869565
4;364;60;242;10000;0.14824883395652175
4;970;60;992;1000;0.062
4;887;60;992;1000;0.06184978199528302
4;891;60;992;1000;0.06154588036150235
4;900;60;992;1000;0.06202924943778802
4;886;60;992;1000;0.062094545599056604
4;106;60;992;10000;0.562
4;96;60;992;10000;0.51884558765
4;96;60;992;10000;0.51030990545
4;96;60;992;10000;0.5162373580999999
4;96;60;992;10000;0.51568730265
7;2687;60;242;1000;0.022
7;2493;60;242;1000;0.02227327100833333
7;2505;60;242;1000;0.022252532897222226
7;2492;60;242;1000;0.022241077537604455
7;2505;60;242;1000;0.022077030122222223
7;296;60;242;10000;0.201
7;272;60;242;10000;0.20800102627906977
7;272;60;242;10000;0.20430240681395348
7;273;60;242;10000;0.20797127045454547
7;272;60;242;10000;0.20596488927906975
7;687;60;992;1000;0.087
7;637;60;992;1000;0.08493757685869566
7;636;60;992;1000;0.0855889918152174
7;636;60;992;1000;0.086787514
7;606;60;992;1000;0.08531392050561798
7;75;60;992;10000;0.790
7;69;60;992;10000;0.7117977601818182
7;69;60;992;10000;0.7224390466363636
7;69;60;992;10000;0.6938399811818182
7;69;60;992;10000;0.716706941090909
10;2080;60;242;1000;0.029
10;1942;60;242;1000;0.028378043729729727
10;1940;60;242;1000;0.028465442502702703
10;1942;60;242;1000;0.02852532075135135
10;1937;60;242;1000;0.02819985571351351
10;237;60;242;10000;0.252
10;219;60;242;10000;0.2550929828947368
10;220;60;242;10000;0.24948087373684208
10;219;60;242;10000;0.2535481241052631
10;219;60;242;10000;0.26494453757894737
10;537;60;992;1000;0.111
10;499;60;992;1000;0.1095318084
10;498;60;992;1000;0.10844978278181817
10;498;60;992;1000;0.10940739936363637
10;497;60;992;1000;0.11116010770909092
10;59;60;992;10000;0.992
10;55;60;992;10000;0.954146742
10;55;60;992;10000;0.9563277320000001
10;55;60;992;10000;0.9577692916
10;55;60;992;10000;0.9703506839999999
34;784;60;242;1000;0.080
34;726;60;242;1000;0.07763436022222223
34;725;60;242;1000;0.07708335288888889
34;727;60;242;1000;0.0776658465
34;726;60;242;1000;0.07848945894444444
34;725;60;242;1000;0.07732242144444444
34;101;60;242;10000;0.578
34;238;60;992;1000;0.250
34;224;60;992;1000;0.28909537
34;224;60;992;1000;0.27534725449999997
34;223;60;992;1000;0.28627629649999997
34;223;60;992;1000;0.2677839055
34;23;60;992;10000;2.291
67;422;60;242;1000;0.152
67;387;60;242;1000;0.15413827
67;387;60;242;1000;0.1577773385
67;386;60;242;1000;0.15955712275
67;389;60;242;1000;0.1609466055
67;389;60;242;1000;0.1636607165
67;389;60;242;1000;0.16979173025
67;384;60;242;1000;0.1724118895
67;384;60;242;1000;0.1616505815
67;381;60;242;1000;0.16448327825
67;383;60;242;1000;0.1790582985
67;54;60;242;10000;1.116
67;131;60;992;1000;0.471
67;7;60;992;10000;3.836
100;264;60;242;1000;0.251
100;241;60;242;1000;0.2602590105
100;241;60;242;1000;0.243358333
100;241;60;242;1000;0.2753801375
100;241;60;242;1000;0.244692039
100;35;60;242;10000;1.682
100;83;60;992;1000;0.741
100;6;60;992;10000;5.978
