num_nodes;tx_size_bytes;txs_per_block;latency;txs_per_sec
10;242;10;0.004;3627
10;242;100;0.005;34173
10;242;1000;0.029;34666
10;242;2000;0.056;35428
10;242;3000;0.084;36150
10;242;4000;0.110;36466
10;242;5000;0.136;36583
10;242;7500;0.195;38250
10;242;10000;0.252;39500
10;242;50000;1.216;40000
10;242;100000;2.417;40000
10;242;150000;3.659;37500
10;242;200000;4.789;13333
4;242;10;0.002;5079
4;242;100;0.003;34526
4;242;1000;0.016;61200
4;242;2000;0.031;64000
4;242;3000;0.046;64950
4;242;4000;0.061;66266
4;242;5000;0.076;66166
4;242;7500;0.112;66875
4;242;10000;0.149;67000
4;242;50000;0.698;70833
4;242;100000;1.403;70000
4;242;150000;2.132;67500
4;242;200000;2.809;70000
7;242;10;0.003;4302
7;242;100;0.004;28565
7;242;1000;0.022;44783
7;242;2000;0.044;45933
7;242;3000;0.065;46450
7;242;4000;0.085;46933
7;242;5000;0.106;47083
7;242;7500;0.158;47250
7;242;10000;0.201;49333
7;242;50000;0.973;50833
7;242;100000;1.952;50000
7;242;150000;2.966;47500
7;242;200000;3.922;46666
