num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec;latency
4;;60;242;1000;;0.04293255183596392
4;;60;242;10000;;0.3995313264693877
4;;60;992;1000;;0.1666016970599369
4;;60;992;10000;;1.45875254815625
7;;60;242;1000;;0.05265118735656527
7;;60;242;10000;;0.4669406032733564
7;;60;992;1000;;0.20008417111436952
7;;60;992;10000;;1.8129546933835616
10;;60;242;1000;;0.06395996410752688
10;;60;242;10000;;0.555629514394191
10;;60;992;1000;;0.24288408686213234
10;;60;992;10000;;2.3255916622542374
34;;60;242;1000;;0.147598366377858
34;;60;242;10000;;1.1741875421553398
34;;60;992;1000;;0.4841714960283401
34;;60;992;10000;;4.5234496608
67;;60;242;1000;;0.2554220285602537
67;;60;242;10000;;2.2283187330377356
67;;60;992;1000;;0.8991383756893939
67;;60;992;10000;;9.796819067818182
100;;60;242;1000;;0.348142507
100;;60;242;10000;;3.1655517826216215
100;;60;992;1000;;1.312304349879121
100;;60;992;10000;;12.581129645
