num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec
4;28343;60;0;10;4723
4;27451;60;0;100;45751
4;24731;60;0;1000;412183
4;27449;60;242;10;4574
4;19761;60;242;100;32935
4;3712;60;242;1000;61866
4;24727;60;992;10;4121
4;8199;60;992;100;13665
4;996;60;992;1000;16600
7;28694;60;0;10;4782
7;28268;60;0;100;47113
7;24753;60;0;1000;412550
7;28130;60;242;10;4688
7;17861;60;242;100;29768
7;2880;60;242;1000;48000
7;24274;60;992;10;4045
7;6507;60;992;100;10845
7;716;60;992;1000;11933
10;26117;60;0;10;4352
10;25347;60;0;100;42245
10;21025;60;0;1000;350416
10;24581;60;242;10;4096
10;14891;60;242;100;24818
10;2236;60;242;1000;37283
10;20464;60;992;10;3410
10;5139;60;992;100;8565
10;573;60;992;1000;9566
