num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec;latency
4;3712;60;242;1000;61866;0.016
4;418;60;242;10000;69833;0.143
4;996;60;992;1000;16600;0.058
4;109;60;992;10000;18166;0.548
7;2880;60;242;1000;48000;0.021
7;340;60;242;10000;56333;0.180
7;716;60;992;1000;11933;0.081
7;86;60;992;10000;14333;0.730
10;2236;60;242;1000;37283;0.028
10;274;60;242;10000;45833;0.260
10;573;60;992;1000;9566;0.106
10;69;60;992;10000;11500;1.000
34;931;60;242;1000;15516;0.071
34;124;60;242;10000;20666;0.593
34;301;60;992;1000;5016;0.259
34;29;60;992;10000;4833;2.292
67;562;60;242;1000;9366;0.140
67;73;60;242;10000;12166;1.325
67;180;60;992;1000;3000;0.528
67;17;60;992;10000;2833;3.936
100;405;60;242;1000;6750;0.198
100;48;60;242;10000;8000;1.854
100;118;60;992;1000;1966;0.748
100;15;60;992;10000;2500;6.515
