num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec
4;30939;60;0;10;5156
4;30824;60;0;100;51373
4;27821;60;0;1000;463683
4;30479;60;242;10;5079
4;20716;60;242;100;34526
4;3672;60;242;1000;61200
4;26809;60;992;10;4468
4;8078;60;992;100;13463
4;970;60;992;1000;16166
7;26137;60;0;10;4356
7;26193;60;0;100;43655
7;23353;60;0;1000;389216
7;25816;60;242;10;4302
7;17139;60;242;100;28565
7;2687;60;242;1000;44783
7;22938;60;992;10;3823
7;6127;60;992;100;10211
7;687;60;992;1000;11450
10;22807;60;0;10;3801
10;22712;60;0;100;37853
10;20484;60;0;1000;341400
10;21762;60;242;10;3627
10;14504;60;242;100;24173
10;2080;60;242;1000;34666
10;19523;60;992;10;3253
10;4899;60;992;100;8165
10;537;60;992;1000;8950
