num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;txs_sec;latency
4;3672;60;242;1000;61200;0.016
4;402;60;242;10000;67000;0.149
4;970;60;992;1000;16166;0.062
4;106;60;992;10000;17666;0.562
7;2687;60;242;1000;44783;0.022
7;296;60;242;10000;49333;0.201
7;687;60;992;1000;11450;0.087
7;75;60;992;10000;12500;0.790
10;2080;60;242;1000;34666;0.029
10;237;60;242;10000;39500;0.252
10;537;60;992;1000;8950;0.111
10;59;60;992;10000;9833;0.992
34;784;60;242;1000;13066;0.080
34;101;60;242;10000;16833;0.578
34;238;60;992;1000;3966;0.250
34;23;60;992;10000;3833;2.291
67;422;60;242;1000;7033;0.152
67;54;60;242;10000;9000;1.116
67;131;60;992;1000;2183;0.471
67;15;60;992;10000;2500;3.836
100;264;60;242;1000;4400;0.251
100;35;60;242;10000;5833;1.682
100;83;60;992;1000;1383;0.741
#100;0;60;992;10000;0;-
